The Man Who Would Be King (1975)	Caine, Michael (I)	1975
Superman (1978)	Lamb, Larry (I)	1978
In the Heat of the Night (1967)	Nisbet, Stuart (I)	1967
Malcolm X (1992)	Richardson, LaTanya	1992
The Ten Commandments (1956)	Moscati, Lorraine	1956
Silver Linings Playbook (2012)	Adams, Richard (XXV)	2012
Million Dollar Baby (2004)	Naveen (I)	2004
Driver: San Francisco (2011) (VG)	Simms, Laura	2011
Chasing Amy (1997)	Jude, Brian	1997
Redacted (2007)	Sahi, Hameed	2007
The Emperor's New Groove (2000)	Mann, Danny (I)	2000
Across the Universe (2007)	Wolcott, Nicole	2007
Furious 6 (2013)	Hagen, Michael (VII)	2013
The Abyss (1989)	Bedford Lloyd, John	1989
Almost Famous (2000)	Weber, Cindy (I)	2000
Boksuneun naui geot (2002)	Ryu, Seung-beom	2002
Restul e tacere (2007)	Popescu, Valentin	2007
Modern Times (1936)	Reynolds, Cecil	1936
Django Unchained (2012)	Duhame, Doc	2012
The Descendants (2011)	Krause, Nick (I)	2011
The Untouchables (1987)	Viverito Sr., Larry	1987
The Man Who Knew Too Much (1956)	G?lin, Daniel	1956
Saw (2004)	Elwes, Cary	2004
Pi (1998)	Mansell, Clint (I)	1998
Sherlock Holmes Vs. Jack the Ripper (2009) (VG)	Simmonds, Rick	2009
Cast Away (2000)	Worthington, Wendy	2000
The Kid (1921)	Sherrod, Edgar	1921
The 39 Steps (1935)	Hobbs, Carleton	1935
Return to Afghanistan (2007)	Zaher, Abdul	2007
Indiana Jones and the Temple of Doom (1984)	Welby, Ruth	1984
Cidade de Deus (2002)	Generoso, Leo	2002
Citizen Kane (1941)	Swan, Buddy	1941
The Fifth Element (1997)	Hughes, John (VI)	1997
Citizen Kane (1941)	Huettner, John	1941
Enemy at the Gates (2001)	Platareanu, Valentin	2001
Taxi Driver (1976)	Singleton, Ralph S.	1976
3 Idiots (2009)	Kapoor, Kareena	2009
Four Lions (2010)	Wilson, Chris (XXIX)	2010
The Blind Side (2009)	Drawdy, Luke	2009
Warriors!: My Daddy Left Me Too (2011)	Horsley, Jacob	2011
Real Premonition (2007)	Biebrich, John	2007
Roman G?ttinger - Hollywood ? discretion (2007)	H?rsch, Christoph	2007
Being John Malkovich (1999)	Bean, Orson	1999
Kiss Kiss Bang Bang (2005)	Fish, Nancy	2005
Romulus, My Father (2007)	Dykstra, Russell	2007
Reiton ky?ju to fushigi na machi (2007) (VG)	Darling, Maria	2007
Batman Begins (2005)	Closson, Kimber	2005
The Wizard of Oz (1939)	Sudam, Ralph	1939
Romulus, My Father (2007)	McGrath, Alethea	2007
Roanoke: The Lost Colony (2007)	West, Brogan	2007
Recon 2022: The Mezzo Incident (2007)	Leigh, Gillian	2007
King Kong (1933)	Ingram, Clifford	1933
Hell Boats (1970)	Emmanuel, Takis	1970
A Simple Plan (1998)	Watton, Roger	1998
Lord of War (2005)	Ngomani, Mirriam	2005
Alien (1979)	Cartwright, Veronica	1979
Raees (2007)	Moazezi, Akbar	2007
Rise of the Footsoldier (2007)	Carey, Tommy (III)	2007
Hsi nou ai le (1970)	Tseng, Ming Cheng	1970
Invictus (2009)	Browne, Mike (V)	2009
Revenge of the Jazz Hoodie (2007)	Pullum, Matt	2007
Gone with the Wind (1939)	Crane, Fred (I)	1939
Deconstructing Harry (1997)	Sontag, David (II)	1997
Revamped (2007) (V)	Conna, Edward	2007
The Grapes of Wrath (1940)	Kaspar, E.J.	1940
Witness (1985)	Goss, Paul	1985
Iron Man (2008) (VG)	Stanton, Stephen	2008
Return of the Ghostbusters (2007)	Acott, Nick	2007
Bringing Up Baby (1938)	Guilfoyle, Paul (I)	1938
Rys (2007)	Drabek, Tomasz	2007
The Great Escape (1963)	McQueen, Steve (I)	1963
Grosse Pointe Blank (1997)	DeVincentis, D.V.	1997
Brazil (1985)	McKeown, Charles	1985
The Crow (1994)	King, Carlyle	1994
In the Heat of the Night (1967)	James, Anthony (I)	1967
Sunset Blvd. (1950)	Wilcoxon, Henry	1950
Bullitt (1968)	Benoit, Mary	1968
Almost Famous (2000)	Frampton, Peter (I)	2000
Ricky Cooper (2007)	Magliocca, James	2007
