917	The Bank Job (2008)
918	Face/Off (1997)
919	Law Abiding Citizen (2009)
920	The Road (2009/I)
921	Dogma (1999)
922	Wristcutters: A Love Story (2006)
923	Pirates of the Caribbean: Dead Man's Chest (2006)
924	Frailty (2001)
925	The Adventures of Priscilla, Queen of the Desert (1994)
926	Election (1999)
927	The Crying Game (1992)
928	Seabiscuit (2003)
929	Cars (2006)
930	Half Nelson (2006)
931	Megamind (2010)
932	Shrek 2 (2004)
933	
934	Winter's Bone (2010)
935	Gosford Park (2001)
936	The Descent (2005)
937	The Dead Zone (1983)
938	Fast Five (2011)
939	Sunshine (2007)
940	Deconstructing Harry (1997)
941	The People vs. Larry Flynt (1996)
942	
943	RocknRolla (2008)
944	
945	Lawless (2012)
946	Frida (2002)
947	Cashback (2006)
948	
949	Chocolat (2000)
950	Four Lions (2010)
951	Quills (2000)
952	The Mist (2007)
953	Mongol (2007)
954	The Emperor's New Groove (2000)
955	Caddyshack (1980)
956	Identity (2003)
957	Forgetting Sarah Marshall (2008)
958	Synecdoche, New York (2008)
959	Submarine (2010)
960	Harry Brown (2009)
961	Janghwa, Hongryeon (2003)
962	Jerry Maguire (1996)
963	Harry Potter and the Chamber of Secrets (2002)
964	From Dusk Till Dawn (1996)
965	Ronin (1998)
966	Frequency (2000)
967	In the Valley of Elah (2007)
968	Big (1988)
969	K-PAX (2001)
970	
971	Black Dynamite (2009)
972	Unbreakable (2000)
973	Eyes Wide Shut (1999)
974	
975	Seven Psychopaths (2012)
976	Thirteen Days (2000)
977	The Hitcher (1986)
978	Star Trek IV: The Voyage Home (1986)
979	A Time to Kill (1996)
980	The Muppets (2011)
981	
982	Manhunter (1986)
983	Win Win (2011)
984	True Lies (1994)
985	Elephant (2003)
986	The Terminal (2004)
987	Enemy of the State (1998)
988	In the Line of Fire (1993)
989	The Negotiator (1998)
990	Narc (2002)
991	The Ides of March (2011)
992	One Hundred and One Dalmatians (1961)
993	Broken Flowers (2005)
994	Men in Black (1997)
995	Men in Black: The Game (1997) (VG)
996	Gremlins (1984)
997	The 40 Year Old Virgin (2005)
998	A Bug's Life (1998)
999	Hodejegerne (2011)
1000	From Russia with Love (1963)
